      0,29: B1<-C11: target-info([day=1, hour=0, minute=0, total-minute=0, latitude=33.857143, longitude=128.358333, x=9, y=8, x-100=950, y-100=850, id=Seabreeze, entity-type=oil-tanker, value=10, speed=0.0, heading=90, direction=east, cargo=crude oil, country=South Korea, info-type=new-target, source-sensor=ais-sensor, port-achieved=false, port-id=none, previous-port=none])
      38,467: B1<-C11: target-info([day=1, hour=9, minute=30, total-minute=570, latitude=34.913143, longitude=129.21875, x=12, y=3, x-100=1245, y-100=388, id=Seabreeze, entity-type=oil-tanker, value=10, speed=6.0, heading=82, direction=east, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Busan])
      38,468: B1<-C11: target-info([day=1, hour=9, minute=30, total-minute=570, latitude=33.512, longitude=129.422917, x=13, y=10, x-100=1315, y-100=1001, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=143, direction=south, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Nagasaki, previous-port=Tsushima])
      39,478: B1<-C11: target-info([day=1, hour=9, minute=45, total-minute=585, latitude=33.512, longitude=129.422917, x=13, y=10, x-100=1315, y-100=1001, id=Shinkai, entity-type=oil-tanker, value=10, speed=0.0, heading=143, direction=south, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=true, port-id=Nagasaki, previous-port=Tsushima])
      39,479: B1<-C11: target-info([day=1, hour=9, minute=45, total-minute=585, latitude=34.915429, longitude=129.23625, x=12, y=3, x-100=1251, y-100=387, id=Seabreeze, entity-type=oil-tanker, value=10, speed=6.0, heading=82, direction=east, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Busan])
      40,486: B1<-C11: target-info([day=1, hour=10, minute=0, total-minute=600, latitude=34.917714, longitude=129.25375, x=12, y=3, x-100=1257, y-100=386, id=Seabreeze, entity-type=oil-tanker, value=10, speed=6.0, heading=82, direction=east, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Busan])
      40,487: B1<-C11: target-info([day=1, hour=10, minute=0, total-minute=600, latitude=33.512, longitude=129.422917, x=13, y=10, x-100=1315, y-100=1001, id=Shinkai, entity-type=oil-tanker, value=10, speed=0.0, heading=143, direction=south, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=true, port-id=Nagasaki, previous-port=Tsushima])
      41,494: B1<-C11: target-info([day=1, hour=10, minute=15, total-minute=615, latitude=33.512, longitude=129.422917, x=13, y=10, x-100=1315, y-100=1001, id=Shinkai, entity-type=oil-tanker, value=10, speed=0.0, heading=143, direction=south, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=true, port-id=Nagasaki, previous-port=Tsushima])
      41,495: B1<-C11: target-info([day=1, hour=10, minute=15, total-minute=615, latitude=34.92, longitude=129.27125, x=12, y=3, x-100=1263, y-100=385, id=Seabreeze, entity-type=oil-tanker, value=10, speed=6.0, heading=82, direction=east, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Busan])
      42,502: B1<-C11: target-info([day=1, hour=10, minute=30, total-minute=630, latitude=34.922286, longitude=129.28875, x=12, y=3, x-100=1269, y-100=384, id=Seabreeze, entity-type=oil-tanker, value=10, speed=6.0, heading=82, direction=east, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Busan])
      42,503: B1<-C11: target-info([day=1, hour=10, minute=30, total-minute=630, latitude=33.512, longitude=129.422917, x=13, y=10, x-100=1315, y-100=1001, id=Shinkai, entity-type=oil-tanker, value=10, speed=0.0, heading=143, direction=south, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=true, port-id=Nagasaki, previous-port=Tsushima])
      43,510: B1<-C11: target-info([day=1, hour=10, minute=45, total-minute=645, latitude=34.924571, longitude=129.30625, x=12, y=3, x-100=1275, y-100=383, id=Seabreeze, entity-type=oil-tanker, value=10, speed=6.0, heading=82, direction=east, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Busan])
      43,511: B1<-C11: target-info([day=1, hour=10, minute=45, total-minute=645, latitude=33.512, longitude=129.422917, x=13, y=10, x-100=1315, y-100=1001, id=Shinkai, entity-type=oil-tanker, value=10, speed=0.0, heading=143, direction=south, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=true, port-id=Nagasaki, previous-port=Tsushima])
      44,519: B1<-C11: target-info([day=1, hour=11, minute=0, total-minute=660, latitude=34.926857, longitude=129.32375, x=12, y=3, x-100=1281, y-100=382, id=Seabreeze, entity-type=oil-tanker, value=10, speed=6.0, heading=82, direction=east, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Busan])
      44,520: B1<-C11: target-info([day=1, hour=11, minute=0, total-minute=660, latitude=33.509714, longitude=129.4375, x=13, y=10, x-100=1320, y-100=1002, id=Shinkai, entity-type=oil-tanker, value=10, speed=3.0, heading=69, direction=east, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=none, previous-port=Nagasaki])
      45,530: B1<-C11: target-info([day=1, hour=11, minute=15, total-minute=675, latitude=34.929143, longitude=129.34125, x=12, y=3, x-100=1287, y-100=381, id=Seabreeze, entity-type=oil-tanker, value=10, speed=6.0, heading=82, direction=east, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Busan])
      45,531: B1<-C11: target-info([day=1, hour=11, minute=15, total-minute=675, latitude=33.514286, longitude=129.455, x=13, y=10, x-100=1326, y-100=1000, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=69, direction=east, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=none, previous-port=Nagasaki])
      46,549: B1<-C11: target-info([day=1, hour=11, minute=30, total-minute=690, latitude=34.931429, longitude=129.35875, x=12, y=3, x-100=1293, y-100=380, id=Seabreeze, entity-type=oil-tanker, value=10, speed=6.0, heading=82, direction=east, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Busan])
      46,550: B1<-C11: target-info([day=1, hour=11, minute=30, total-minute=690, latitude=33.518857, longitude=129.4725, x=13, y=9, x-100=1332, y-100=998, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=69, direction=east, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Nagasaki])
      47,559: B1<-C11: target-info([day=1, hour=11, minute=45, total-minute=705, latitude=34.933714, longitude=129.37625, x=12, y=3, x-100=1299, y-100=379, id=Seabreeze, entity-type=oil-tanker, value=10, speed=6.0, heading=82, direction=east, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Busan])
      47,560: B1<-C11: target-info([day=1, hour=11, minute=45, total-minute=705, latitude=33.523429, longitude=129.49, x=13, y=9, x-100=1338, y-100=996, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=69, direction=east, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Nagasaki])
      48,569: B1<-C11: target-info([day=1, hour=12, minute=0, total-minute=720, latitude=33.528, longitude=129.5075, x=13, y=9, x-100=1344, y-100=994, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=69, direction=east, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Nagasaki])
      48,570: B1<-C11: target-info([day=1, hour=12, minute=0, total-minute=720, latitude=34.936, longitude=129.39375, x=13, y=3, x-100=1305, y-100=378, id=Seabreeze, entity-type=oil-tanker, value=10, speed=6.0, heading=82, direction=east, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Busan])
      49,579: B1<-C11: target-info([day=1, hour=12, minute=15, total-minute=735, latitude=34.942857, longitude=129.44625, x=13, y=3, x-100=1323, y-100=375, id=Seabreeze, entity-type=oil-tanker, value=10, speed=18.0, heading=82, direction=east, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Busan])
      49,580: B1<-C11: target-info([day=1, hour=12, minute=15, total-minute=735, latitude=33.532571, longitude=129.525, x=13, y=9, x-100=1350, y-100=992, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=69, direction=east, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Nagasaki])
      50,589: B1<-C11: target-info([day=1, hour=12, minute=30, total-minute=750, latitude=34.949714, longitude=129.49875, x=13, y=3, x-100=1341, y-100=372, id=Seabreeze, entity-type=oil-tanker, value=10, speed=18.0, heading=82, direction=east, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Busan])
      50,590: B1<-C11: target-info([day=1, hour=12, minute=30, total-minute=750, latitude=33.537143, longitude=129.5425, x=13, y=9, x-100=1356, y-100=990, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=69, direction=east, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Nagasaki])
      51,599: B1<-C11: target-info([day=1, hour=12, minute=45, total-minute=765, latitude=33.541714, longitude=129.56, x=13, y=9, x-100=1362, y-100=988, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=69, direction=east, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Nagasaki])
      51,600: B1<-C11: target-info([day=1, hour=12, minute=45, total-minute=765, latitude=34.956571, longitude=129.55125, x=13, y=3, x-100=1359, y-100=369, id=Seabreeze, entity-type=oil-tanker, value=10, speed=18.0, heading=82, direction=east, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Busan])
      52,609: B1<-C11: target-info([day=1, hour=13, minute=0, total-minute=780, latitude=34.963429, longitude=129.60375, x=13, y=3, x-100=1377, y-100=366, id=Seabreeze, entity-type=oil-tanker, value=10, speed=18.0, heading=82, direction=east, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Busan])
      52,610: B1<-C11: target-info([day=1, hour=13, minute=0, total-minute=780, latitude=33.546286, longitude=129.5775, x=13, y=9, x-100=1368, y-100=986, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=69, direction=east, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Nagasaki])
      53,619: B1<-C11: target-info([day=1, hour=13, minute=15, total-minute=795, latitude=34.970286, longitude=129.65625, x=13, y=3, x-100=1395, y-100=363, id=Seabreeze, entity-type=oil-tanker, value=10, speed=18.0, heading=82, direction=east, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Busan])
      53,620: B1<-C11: target-info([day=1, hour=13, minute=15, total-minute=795, latitude=33.550857, longitude=129.595, x=13, y=9, x-100=1374, y-100=984, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=69, direction=east, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Nagasaki])
      54,629: B1<-C11: target-info([day=1, hour=13, minute=30, total-minute=810, latitude=34.977143, longitude=129.70875, x=14, y=3, x-100=1413, y-100=360, id=Seabreeze, entity-type=oil-tanker, value=10, speed=18.0, heading=82, direction=east, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Busan])
      54,630: B1<-C11: target-info([day=1, hour=13, minute=30, total-minute=810, latitude=33.555429, longitude=129.6125, x=13, y=9, x-100=1380, y-100=982, id=Shinkai, entity-type=oil-tanker, value=10, speed=3.0, heading=65, direction=east, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Nagasaki])
      55,639: B1<-C11: target-info([day=1, hour=13, minute=45, total-minute=825, latitude=33.562286, longitude=129.627083, x=13, y=9, x-100=1385, y-100=979, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=65, direction=east, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Nagasaki])
      55,640: B1<-C11: target-info([day=1, hour=13, minute=45, total-minute=825, latitude=34.986286, longitude=129.79625, x=14, y=3, x-100=1443, y-100=356, id=Seabreeze, entity-type=oil-tanker, value=10, speed=30.0, heading=82, direction=east, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Busan])
      56,649: B1<-C11: target-info([day=1, hour=14, minute=0, total-minute=840, latitude=34.993143, longitude=129.88375, x=14, y=3, x-100=1473, y-100=353, id=Seabreeze, entity-type=oil-tanker, value=10, speed=15.0, heading=86, direction=east, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Busan])
      56,650: B1<-C11: target-info([day=1, hour=14, minute=0, total-minute=840, latitude=33.569143, longitude=129.641667, x=13, y=9, x-100=1390, y-100=976, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=65, direction=east, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Nagasaki])
      57,659: B1<-C11: target-info([day=1, hour=14, minute=15, total-minute=855, latitude=34.997714, longitude=129.97125, x=15, y=3, x-100=1503, y-100=351, id=Seabreeze, entity-type=oil-tanker, value=10, speed=30.0, heading=86, direction=east, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Busan])
      57,660: B1<-C11: target-info([day=1, hour=14, minute=15, total-minute=855, latitude=33.576, longitude=129.65625, x=13, y=9, x-100=1395, y-100=973, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=65, direction=east, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Nagasaki])
      58,669: B1<-C11: target-info([day=1, hour=14, minute=30, total-minute=870, latitude=33.582857, longitude=129.670833, x=14, y=9, x-100=1400, y-100=970, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=65, direction=east, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Nagasaki])
      58,670: B1<-C11: target-info([day=1, hour=14, minute=30, total-minute=870, latitude=34.972571, longitude=130.04125, x=15, y=3, x-100=1527, y-100=362, id=Seabreeze, entity-type=oil-tanker, value=10, speed=15.0, heading=143, direction=south, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=none, previous-port=Busan])
      59,680: B1<-C11: target-info([day=1, hour=14, minute=45, total-minute=885, latitude=33.589714, longitude=129.685417, x=14, y=9, x-100=1405, y-100=967, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=65, direction=east, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Nagasaki])
      59,681: B1<-C11: target-info([day=1, hour=14, minute=45, total-minute=885, latitude=34.917714, longitude=130.09375, x=15, y=3, x-100=1545, y-100=386, id=Seabreeze, entity-type=oil-tanker, value=10, speed=30.0, heading=143, direction=south, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=none, previous-port=Busan])
      60,699: B1<-C11: target-info([day=1, hour=15, minute=0, total-minute=900, latitude=33.596571, longitude=129.7, x=14, y=9, x-100=1410, y-100=964, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=65, direction=east, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Nagasaki])
      60,700: B1<-C11: target-info([day=1, hour=15, minute=0, total-minute=900, latitude=34.860571, longitude=130.143333, x=15, y=4, x-100=1562, y-100=411, id=Seabreeze, entity-type=oil-tanker, value=10, speed=15.0, heading=147, direction=south, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Busan])
      61,709: B1<-C11: target-info([day=1, hour=15, minute=15, total-minute=915, latitude=33.603429, longitude=129.714583, x=14, y=9, x-100=1415, y-100=961, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=65, direction=east, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Nagasaki])
      61,710: B1<-C11: target-info([day=1, hour=15, minute=15, total-minute=915, latitude=34.803429, longitude=130.19, x=15, y=4, x-100=1578, y-100=436, id=Seabreeze, entity-type=oil-tanker, value=10, speed=30.0, heading=147, direction=south, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Busan])
      62,719: B1<-C11: target-info([day=1, hour=15, minute=30, total-minute=930, latitude=34.746286, longitude=130.236667, x=15, y=4, x-100=1594, y-100=461, id=Seabreeze, entity-type=oil-tanker, value=10, speed=30.0, heading=147, direction=south, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Busan])
      62,720: B1<-C11: target-info([day=1, hour=15, minute=30, total-minute=930, latitude=33.610286, longitude=129.729167, x=14, y=9, x-100=1420, y-100=958, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=65, direction=east, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Nagasaki])
      63,729: B1<-C11: target-info([day=1, hour=15, minute=45, total-minute=945, latitude=34.689143, longitude=130.283333, x=16, y=4, x-100=1610, y-100=486, id=Seabreeze, entity-type=oil-tanker, value=10, speed=30.0, heading=147, direction=south, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Busan])
      63,730: B1<-C11: target-info([day=1, hour=15, minute=45, total-minute=945, latitude=33.617143, longitude=129.74375, x=14, y=9, x-100=1425, y-100=955, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=65, direction=east, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Nagasaki])
      64,739: B1<-C11: target-info([day=1, hour=16, minute=0, total-minute=960, latitude=33.624, longitude=129.758333, x=14, y=9, x-100=1430, y-100=952, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=65, direction=east, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Nagasaki])
      64,740: B1<-C11: target-info([day=1, hour=16, minute=0, total-minute=960, latitude=34.632, longitude=130.33, x=16, y=5, x-100=1626, y-100=511, id=Seabreeze, entity-type=oil-tanker, value=10, speed=30.0, heading=147, direction=south, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Busan])
      65,749: B1<-C11: target-info([day=1, hour=16, minute=15, total-minute=975, latitude=33.630857, longitude=129.772917, x=14, y=9, x-100=1435, y-100=949, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=65, direction=east, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Nagasaki])
      65,750: B1<-C11: target-info([day=1, hour=16, minute=15, total-minute=975, latitude=34.568, longitude=130.35625, x=16, y=5, x-100=1635, y-100=539, id=Seabreeze, entity-type=oil-tanker, value=10, speed=15.0, heading=175, direction=south, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=none, previous-port=Busan])
      66,760: B1<-C11: target-info([day=1, hour=16, minute=30, total-minute=990, latitude=34.499429, longitude=130.365, x=16, y=5, x-100=1638, y-100=569, id=Seabreeze, entity-type=oil-tanker, value=10, speed=30.0, heading=175, direction=south, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=none, previous-port=Busan])
      66,761: B1<-C11: target-info([day=1, hour=16, minute=30, total-minute=990, latitude=33.637714, longitude=129.7875, x=14, y=9, x-100=1440, y-100=946, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=65, direction=east, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Nagasaki])
      67,779: B1<-C11: target-info([day=1, hour=16, minute=45, total-minute=1005, latitude=33.644571, longitude=129.802083, x=14, y=9, x-100=1445, y-100=943, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=65, direction=east, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Nagasaki])
      67,780: B1<-C11: target-info([day=1, hour=16, minute=45, total-minute=1005, latitude=34.430857, longitude=130.37375, x=16, y=5, x-100=1641, y-100=599, id=Seabreeze, entity-type=oil-tanker, value=10, speed=30.0, heading=175, direction=south, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Busan])
      68,789: B1<-C11: target-info([day=1, hour=17, minute=0, total-minute=1020, latitude=34.362286, longitude=130.3825, x=16, y=6, x-100=1644, y-100=629, id=Seabreeze, entity-type=oil-tanker, value=10, speed=30.0, heading=175, direction=south, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Busan])
      68,790: B1<-C11: target-info([day=1, hour=17, minute=0, total-minute=1020, latitude=33.651429, longitude=129.816667, x=14, y=9, x-100=1450, y-100=940, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=65, direction=east, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Nagasaki])
      69,799: B1<-C11: target-info([day=1, hour=17, minute=15, total-minute=1035, latitude=33.658286, longitude=129.83125, x=14, y=9, x-100=1455, y-100=937, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=65, direction=east, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Nagasaki])
      69,800: B1<-C11: target-info([day=1, hour=17, minute=15, total-minute=1035, latitude=34.321143, longitude=130.388333, x=16, y=6, x-100=1646, y-100=647, id=Seabreeze, entity-type=oil-tanker, value=10, speed=18.0, heading=175, direction=south, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Busan])
      70,809: B1<-C11: target-info([day=1, hour=17, minute=30, total-minute=1050, latitude=33.665143, longitude=129.845833, x=14, y=9, x-100=1460, y-100=934, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=65, direction=east, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Nagasaki])
      70,810: B1<-C11: target-info([day=1, hour=17, minute=30, total-minute=1050, latitude=34.28, longitude=130.394167, x=16, y=6, x-100=1648, y-100=665, id=Seabreeze, entity-type=oil-tanker, value=10, speed=18.0, heading=175, direction=south, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Busan])
      71,819: B1<-C11: target-info([day=1, hour=17, minute=45, total-minute=1065, latitude=33.672, longitude=129.860417, x=14, y=9, x-100=1465, y-100=931, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=65, direction=east, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Nagasaki])
      71,820: B1<-C11: target-info([day=1, hour=17, minute=45, total-minute=1065, latitude=34.238857, longitude=130.397083, x=16, y=6, x-100=1649, y-100=683, id=Seabreeze, entity-type=oil-tanker, value=10, speed=9.0, heading=179, direction=south, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Busan])
      72,829: B1<-C11: target-info([day=1, hour=18, minute=0, total-minute=1080, latitude=34.197714, longitude=130.397083, x=16, y=7, x-100=1649, y-100=701, id=Seabreeze, entity-type=oil-tanker, value=10, speed=18.0, heading=179, direction=south, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Busan])
      72,830: B1<-C11: target-info([day=1, hour=18, minute=0, total-minute=1080, latitude=33.678857, longitude=129.875, x=14, y=9, x-100=1470, y-100=928, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=65, direction=east, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Nagasaki])
      73,839: B1<-C11: target-info([day=1, hour=18, minute=15, total-minute=1095, latitude=34.156571, longitude=130.397083, x=16, y=7, x-100=1649, y-100=719, id=Seabreeze, entity-type=oil-tanker, value=10, speed=18.0, heading=179, direction=south, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Busan])
      73,840: B1<-C11: target-info([day=1, hour=18, minute=15, total-minute=1095, latitude=33.685714, longitude=129.889583, x=14, y=9, x-100=1475, y-100=925, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=65, direction=east, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Nagasaki])
      74,849: B1<-C11: target-info([day=1, hour=18, minute=30, total-minute=1110, latitude=33.692571, longitude=129.904167, x=14, y=9, x-100=1480, y-100=922, id=Shinkai, entity-type=oil-tanker, value=10, speed=6.0, heading=65, direction=east, cargo=refined petroleum, country=Japan, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Nagasaki])
      74,850: B1<-C11: target-info([day=1, hour=18, minute=30, total-minute=1110, latitude=34.115429, longitude=130.397083, x=16, y=7, x-100=1649, y-100=737, id=Seabreeze, entity-type=oil-tanker, value=10, speed=18.0, heading=179, direction=south, cargo=crude oil, country=South Korea, info-type=update-target, source-sensor=ais-sensor, port-achieved=false, port-id=Fukuoka, previous-port=Busan])
